locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJNEKNFH_00041	CDS	654	pcm_1	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
PJNEKNFH_00042	CDS	381				hypothetical protein
PJNEKNFH_00043	CDS	768	surE_1	3.1.3.5	COG0496	5'-nucleotidase SurE
PJNEKNFH_00044	CDS	1494	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
PJNEKNFH_00045	CDS	810	tatC_1		COG0805	Sec-independent protein translocase protein TatC
PJNEKNFH_00046	CDS	543	tatB_1			Sec-independent protein translocase protein TatB
PJNEKNFH_00047	CDS	237	tatA_1			Sec-independent protein translocase protein TatA
PJNEKNFH_00048	CDS	663	pcm_2	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
PJNEKNFH_00049	tRNA	75				tRNA-Asn(gtt)
PJNEKNFH_00050	CDS	243				hypothetical protein
PJNEKNFH_00051	CDS	201				hypothetical protein
PJNEKNFH_00052	CDS	207				hypothetical protein
PJNEKNFH_00053	CDS	177				hypothetical protein
PJNEKNFH_00054	CDS	1359	glmU_1			Bifunctional protein GlmU
PJNEKNFH_00055	CDS	1269				hypothetical protein
PJNEKNFH_00056	CDS	381				hypothetical protein
PJNEKNFH_00057	CDS	1599				hypothetical protein
PJNEKNFH_00058	CDS	573				hypothetical protein
PJNEKNFH_00059	CDS	2670				hypothetical protein
PJNEKNFH_00060	tRNA	76				tRNA-Lys(ttt)
PJNEKNFH_00061	CDS	201				hypothetical protein
PJNEKNFH_00062	CDS	1146				hypothetical protein
PJNEKNFH_00063	CDS	351				hypothetical protein
PJNEKNFH_00064	CDS	498				hypothetical protein
PJNEKNFH_00065	CDS	978	cysK1_1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
PJNEKNFH_00066	CDS	216				hypothetical protein
PJNEKNFH_00067	CDS	1134	tgt_1	2.4.2.29		Queuine tRNA-ribosyltransferase
PJNEKNFH_00068	CDS	1083	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PJNEKNFH_00069	CDS	465				hypothetical protein
PJNEKNFH_00070	CDS	561				hypothetical protein
PJNEKNFH_00071	CDS	498	coaD_1	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PJNEKNFH_00072	CDS	255				hypothetical protein
PJNEKNFH_00073	CDS	2742	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
PJNEKNFH_00074	CDS	624				hypothetical protein
PJNEKNFH_00075	CDS	747	scpB_1			Segregation and condensation protein B
PJNEKNFH_00076	CDS	837	scpA_1		COG1354	Segregation and condensation protein A
PJNEKNFH_00077	CDS	1017	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
PJNEKNFH_00078	CDS	1413				hypothetical protein
PJNEKNFH_00079	CDS	1794	argS_1	6.1.1.19		Arginine--tRNA ligase
PJNEKNFH_00080	CDS	1215				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
PJNEKNFH_00081	CDS	333	erpA_1		COG0316	Iron-sulfur cluster insertion protein ErpA
PJNEKNFH_00082	CDS	801	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
PJNEKNFH_00083	CDS	819				hypothetical protein
PJNEKNFH_00084	CDS	345				hypothetical protein
PJNEKNFH_00085	CDS	1434	lpdC	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
PJNEKNFH_00086	CDS	966	pal_1			Peptidoglycan-associated lipoprotein
PJNEKNFH_00087	CDS	330				hypothetical protein
PJNEKNFH_00088	CDS	1359	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PJNEKNFH_00089	CDS	1398	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
PJNEKNFH_00090	CDS	1023	acoA_1	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PJNEKNFH_00091	CDS	318				hypothetical protein
PJNEKNFH_00092	CDS	558	chrR_1	1.6.5.2	COG0431	Quinone reductase
PJNEKNFH_00093	CDS	588				hypothetical protein
PJNEKNFH_00094	CDS	1257				hypothetical protein
PJNEKNFH_00095	CDS	675				hypothetical protein
PJNEKNFH_00096	CDS	528				hypothetical protein
PJNEKNFH_00097	CDS	171				hypothetical protein
PJNEKNFH_00098	CDS	1173				hypothetical protein
PJNEKNFH_00099	CDS	573				hypothetical protein
PJNEKNFH_00100	CDS	1281	eno_1	4.2.1.11		Enolase
PJNEKNFH_00101	CDS	477	queF_1	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
PJNEKNFH_00102	CDS	717				hypothetical protein
PJNEKNFH_00103	CDS	1197	nanT_1			Sialic acid transporter NanT
PJNEKNFH_00104	CDS	864	kdsA_1	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
PJNEKNFH_00105	CDS	357				hypothetical protein
PJNEKNFH_00106	CDS	1632	pyrG_1	6.3.4.2	COG0504	CTP synthase
PJNEKNFH_00107	CDS	375				hypothetical protein
PJNEKNFH_00108	CDS	753	tpiA_1	5.3.1.1	COG0149	Triosephosphate isomerase
PJNEKNFH_00109	CDS	1911	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
PJNEKNFH_00110	CDS	1014	trpD_1	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
PJNEKNFH_00111	CDS	795	trpC_1	4.1.1.48		Indole-3-glycerol phosphate synthase
PJNEKNFH_00112	CDS	510	moaC_1	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
PJNEKNFH_00113	CDS	1215	moeA_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
PJNEKNFH_00114	CDS	702	lexA_1	3.4.21.88	COG1974	LexA repressor
PJNEKNFH_00115	CDS	351				hypothetical protein
PJNEKNFH_00116	CDS	2337				hypothetical protein
PJNEKNFH_00117	CDS	1680	glnS_1	6.1.1.18	COG0008	Glutamine--tRNA ligase
PJNEKNFH_00118	CDS	1491	gltX_1	6.1.1.17		Glutamate--tRNA ligase
PJNEKNFH_00119	CDS	1302	aarA_1	2.3.3.16		Citrate synthase
PJNEKNFH_00120	CDS	1191	lpxB_1	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
PJNEKNFH_00121	CDS	867	lpxI_1	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
PJNEKNFH_00122	CDS	807	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
PJNEKNFH_00123	CDS	456	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
PJNEKNFH_00124	CDS	1089	lpxD_1	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
PJNEKNFH_00125	CDS	2592	bamA_1		COG4775	Outer membrane protein assembly factor BamA
PJNEKNFH_00126	CDS	1152	mmpA_1	3.4.24.-	COG0750	Metalloprotease MmpA
PJNEKNFH_00127	CDS	1224	dxr_1	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
PJNEKNFH_00128	CDS	780				hypothetical protein
PJNEKNFH_00129	CDS	759	uppS_1	2.5.1.-	COG0020	Isoprenyl transferase
PJNEKNFH_00130	CDS	564	frr_1		COG0233	Ribosome-recycling factor
PJNEKNFH_00131	CDS	717	pyrH_1	2.7.4.22	COG0528	Uridylate kinase
PJNEKNFH_00132	CDS	924	tsf_1		COG0264	Elongation factor Ts
PJNEKNFH_00133	CDS	999	rpsB_1		COG0052	30S ribosomal protein S2
PJNEKNFH_00134	CDS	3507	dnaE1_1	2.7.7.7		DNA polymerase III subunit alpha
PJNEKNFH_00135	CDS	102				hypothetical protein
PJNEKNFH_00136	CDS	759	pyrF_1	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
PJNEKNFH_00137	CDS	243				hypothetical protein
PJNEKNFH_00138	CDS	705	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
PJNEKNFH_00139	CDS	1281	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
PJNEKNFH_00140	CDS	1320	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
PJNEKNFH_00141	CDS	531				hypothetical protein
PJNEKNFH_00142	CDS	537				hypothetical protein
PJNEKNFH_00143	CDS	2205	btuB_1			Vitamin B12 transporter BtuB
PJNEKNFH_00144	CDS	366				hypothetical protein
PJNEKNFH_00145	CDS	276				hypothetical protein
PJNEKNFH_00146	CDS	405	epi_1	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
PJNEKNFH_00147	CDS	1674	rnaJ	3.1.-.-		Ribonuclease J
PJNEKNFH_00148	CDS	813	birA_1	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
PJNEKNFH_00149	CDS	1437	nuoN_1	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
PJNEKNFH_00150	CDS	1509	nuoM_1	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
PJNEKNFH_00151	CDS	2067	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
PJNEKNFH_00152	CDS	309	nuoK_1	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
PJNEKNFH_00153	CDS	639	nuoJ_1	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
PJNEKNFH_00154	CDS	489	nuoI_1	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
PJNEKNFH_00155	CDS	1071	nuoH_1	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
PJNEKNFH_00156	CDS	2076	nqo3_1	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
PJNEKNFH_00157	CDS	1326	nqo1_1	7.1.1.-	COG1894	NADH-quinone oxidoreductase chain 1
PJNEKNFH_00158	CDS	753	nqo2_1	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
PJNEKNFH_00159	CDS	966				hypothetical protein
PJNEKNFH_00160	CDS	1209	nuoD_1	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
PJNEKNFH_00161	CDS	621	nqo5_1	7.1.1.-	COG0852	NADH-quinone oxidoreductase chain 5
PJNEKNFH_00162	CDS	603	ndhK_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
PJNEKNFH_00163	CDS	366	ndhC_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
PJNEKNFH_00164	CDS	195				hypothetical protein
PJNEKNFH_00165	CDS	198				hypothetical protein
PJNEKNFH_00166	CDS	240				hypothetical protein
PJNEKNFH_00167	tRNA	77				tRNA-Asp(gtc)
PJNEKNFH_00168	CDS	300	hup_1		COG0776	DNA-binding protein HU
PJNEKNFH_00169	CDS	1254	pepT_1	3.4.11.4	COG2195	Peptidase T
PJNEKNFH_00170	CDS	807				hypothetical protein
PJNEKNFH_00171	CDS	312				hypothetical protein
PJNEKNFH_00172	CDS	858	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
PJNEKNFH_00173	CDS	219				hypothetical protein
PJNEKNFH_00174	tRNA	77				tRNA-Val(tac)
PJNEKNFH_00175	CDS	2427	lon_1	3.4.21.53		Lon protease
PJNEKNFH_00176	CDS	1275	clpX_1			ATP-dependent Clp protease ATP-binding subunit ClpX
PJNEKNFH_00177	CDS	639	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
PJNEKNFH_00178	CDS	1362	tig_1	5.2.1.8	COG0544	Trigger factor
PJNEKNFH_00179	tRNA	85				tRNA-Leu(tag)
PJNEKNFH_00180	CDS	1107	mmcO_1	1.16.3.1	COG2132	Multicopper oxidase MmcO
PJNEKNFH_00181	CDS	1500	nnr_1		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
PJNEKNFH_00182	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II
PJNEKNFH_00183	CDS	1410	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
PJNEKNFH_00184	CDS	1128				hypothetical protein
PJNEKNFH_00185	CDS	303				hypothetical protein
PJNEKNFH_00186	CDS	513				hypothetical protein
PJNEKNFH_00187	CDS	558				hypothetical protein
PJNEKNFH_00188	CDS	1059	hemB_1	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
PJNEKNFH_00189	CDS	540				hypothetical protein
PJNEKNFH_00190	CDS	774	bpt_1	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
PJNEKNFH_00191	CDS	1389	mntH_1			Divalent metal cation transporter MntH
PJNEKNFH_00192	CDS	390	arsC_1	1.20.4.1		Arsenate reductase
PJNEKNFH_00193	CDS	2250	parC_1	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
PJNEKNFH_00194	CDS	789	recO_1			DNA repair protein RecO
PJNEKNFH_00195	CDS	372				hypothetical protein
PJNEKNFH_00196	CDS	912	era_1			GTPase Era
PJNEKNFH_00197	CDS	801	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
PJNEKNFH_00198	CDS	759	lepB_1	3.4.21.89	COG0681	Signal peptidase I
PJNEKNFH_00199	CDS	420	acpS_1	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PJNEKNFH_00200	CDS	813	pdxJ_1	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PJNEKNFH_00201	CDS	2256	rsh_1	2.7.6.5		GTP pyrophosphokinase rsh
PJNEKNFH_00202	CDS	393	rpoZ_1	2.7.7.6		DNA-directed RNA polymerase subunit omega
PJNEKNFH_00203	CDS	618				hypothetical protein
PJNEKNFH_00204	CDS	678	udgb_1	3.2.2.-	COG1573	Type-5 uracil-DNA glycosylase
PJNEKNFH_00205	CDS	162				hypothetical protein
PJNEKNFH_00206	CDS	474	smpB_1			SsrA-binding protein
PJNEKNFH_00207	CDS	420	mscL_1		COG1970	Large-conductance mechanosensitive channel
PJNEKNFH_00208	CDS	891	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
PJNEKNFH_00209	CDS	2151	mltC_1	4.2.2.-		Membrane-bound lytic murein transglycosylase C
PJNEKNFH_00210	CDS	984	dusA_1	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
PJNEKNFH_00211	CDS	1017	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
PJNEKNFH_00212	CDS	813				hypothetical protein
PJNEKNFH_00213	CDS	513				hypothetical protein
PJNEKNFH_00214	CDS	723				hypothetical protein
PJNEKNFH_00215	CDS	1914	htpG_1		COG0326	Chaperone protein HtpG
PJNEKNFH_00216	CDS	372				hypothetical protein
PJNEKNFH_00217	CDS	339	fdxA_1		COG1146	Ferredoxin-2
PJNEKNFH_00218	CDS	306	phhB_1	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
PJNEKNFH_00219	CDS	381				hypothetical protein
PJNEKNFH_00220	CDS	549				hypothetical protein
PJNEKNFH_00221	CDS	1284	rlmN_1	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
PJNEKNFH_00222	CDS	477				hypothetical protein
PJNEKNFH_00223	CDS	789				hypothetical protein
PJNEKNFH_00224	CDS	1230	argG_1	6.3.4.5	COG0137	Argininosuccinate synthase
PJNEKNFH_00225	CDS	1326	pal_2			Peptidoglycan-associated lipoprotein
PJNEKNFH_00226	CDS	783	sdhB_1	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
PJNEKNFH_00227	CDS	1824	sdhA_1	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
PJNEKNFH_00228	CDS	408				hypothetical protein
PJNEKNFH_00229	CDS	426				hypothetical protein
PJNEKNFH_00230	CDS	1557	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
PJNEKNFH_00231	CDS	510	yojM_1		COG2032	Superoxide dismutase-like protein YojM
PJNEKNFH_00232	CDS	1113	leuB_1	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
PJNEKNFH_00233	CDS	393				hypothetical protein
PJNEKNFH_00234	CDS	1035	asd2_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
PJNEKNFH_00235	CDS	708	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
PJNEKNFH_00236	CDS	606	leuD_1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
PJNEKNFH_00237	CDS	402				hypothetical protein
PJNEKNFH_00238	CDS	288				hypothetical protein
PJNEKNFH_00239	CDS	306				hypothetical protein
PJNEKNFH_00240	CDS	531				hypothetical protein
PJNEKNFH_00241	CDS	1407	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
PJNEKNFH_00242	CDS	381	rplS_1		COG0335	50S ribosomal protein L19
PJNEKNFH_00243	CDS	855	trmD_1	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
PJNEKNFH_00244	CDS	522	rimM_1		COG0806	Ribosome maturation factor RimM
PJNEKNFH_00245	CDS	333	rpsP_1		COG0228	30S ribosomal protein S16
PJNEKNFH_00246	CDS	1551	ffh_1		COG0541	Signal recognition particle protein
PJNEKNFH_00247	CDS	723			COG2968	26 kDa periplasmic immunogenic protein
PJNEKNFH_00248	CDS	729				hypothetical protein
PJNEKNFH_00249	CDS	894	dapF_1	5.1.1.7	COG0253	Diaminopimelate epimerase
PJNEKNFH_00250	CDS	1269	mtaB_1	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PJNEKNFH_00251	CDS	1659				hypothetical protein
PJNEKNFH_00252	CDS	543	ecfG_1			ECF RNA polymerase sigma factor EcfG
PJNEKNFH_00253	CDS	219				hypothetical protein
PJNEKNFH_00254	CDS	807	phyR_1			Phyllosphere-induced regulator PhyR
PJNEKNFH_00255	CDS	384				hypothetical protein
PJNEKNFH_00256	CDS	423				hypothetical protein
PJNEKNFH_00257	CDS	369				hypothetical protein
PJNEKNFH_00258	CDS	156				hypothetical protein
PJNEKNFH_00259	CDS	2226	glcB_1	2.3.3.9	COG2225	Malate synthase G
PJNEKNFH_00260	CDS	1926	cysNC_1		COG0529	Bifunctional enzyme CysN/CysC
PJNEKNFH_00261	CDS	807	cysD_1	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
PJNEKNFH_00262	CDS	1431	cysG_1		COG0007	Siroheme synthase
PJNEKNFH_00263	CDS	765	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
PJNEKNFH_00264	CDS	990	sbp_1		COG1613	Sulfate-binding protein
PJNEKNFH_00265	CDS	837	cysT_1		COG0555	Sulfate transport system permease protein CysT
PJNEKNFH_00266	CDS	870	cysW_1		COG4208	Sulfate transport system permease protein CysW
PJNEKNFH_00267	CDS	1050	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
PJNEKNFH_00268	CDS	510				hypothetical protein
PJNEKNFH_00269	CDS	789	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
PJNEKNFH_00270	CDS	1383	murJ_1			lipid II flippase MurJ
PJNEKNFH_00271	CDS	843				hypothetical protein
PJNEKNFH_00272	CDS	609				hypothetical protein
PJNEKNFH_00273	CDS	2883				hypothetical protein
PJNEKNFH_00274	CDS	999	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
PJNEKNFH_00275	CDS	189				hypothetical protein
PJNEKNFH_00276	CDS	549				hypothetical protein
PJNEKNFH_00277	CDS	228	rpmE_1		COG0254	50S ribosomal protein L31
PJNEKNFH_00278	CDS	1884	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
PJNEKNFH_00279	CDS	450				hypothetical protein
PJNEKNFH_00280	CDS	1029	pal_3			Peptidoglycan-associated lipoprotein
PJNEKNFH_00281	CDS	1077				hypothetical protein
PJNEKNFH_00282	CDS	1206	srpA			Solvent efflux pump periplasmic linker SrpA
PJNEKNFH_00283	CDS	3162	ttgB_1		COG0841	putative efflux pump membrane transporter TtgB
PJNEKNFH_00284	CDS	792	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
PJNEKNFH_00285	CDS	1041				hypothetical protein
PJNEKNFH_00286	CDS	702	thiE_1	2.5.1.3		Thiamine-phosphate synthase
PJNEKNFH_00287	CDS	1032	fda_1	4.1.2.13		Fructose-bisphosphate aldolase class 1
PJNEKNFH_00288	CDS	1197	pgk_1	2.7.2.3		Phosphoglycerate kinase
PJNEKNFH_00289	CDS	1008	gapA_1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
PJNEKNFH_00290	CDS	1986	tktA_1	2.2.1.1	COG0021	Transketolase 1
PJNEKNFH_00291	CDS	336				hypothetical protein
PJNEKNFH_00292	CDS	384				hypothetical protein
PJNEKNFH_00293	CDS	588		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
PJNEKNFH_00294	CDS	822	ymdB_1	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
PJNEKNFH_00295	CDS	747			COG0217	putative transcriptional regulatory protein
PJNEKNFH_00296	CDS	1371			COG2239	Magnesium transporter MgtE
PJNEKNFH_00297	CDS	609				hypothetical protein
PJNEKNFH_00298	CDS	519	ruvC_1	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
PJNEKNFH_00299	CDS	618	ruvA_1	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PJNEKNFH_00300	CDS	1047	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
PJNEKNFH_00301	CDS	462		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
PJNEKNFH_00302	CDS	129				hypothetical protein
PJNEKNFH_00303	CDS	714	betI_1			HTH-type transcriptional regulator BetI
PJNEKNFH_00304	CDS	489				hypothetical protein
PJNEKNFH_00305	CDS	714	tolQ_1		COG0811	Tol-Pal system protein TolQ
PJNEKNFH_00306	CDS	387	exbD_1		COG0848	Biopolymer transport protein ExbD
PJNEKNFH_00307	CDS	1053				hypothetical protein
PJNEKNFH_00308	CDS	1326	tolB_1		COG0823	Tol-Pal system protein TolB
PJNEKNFH_00309	CDS	2322				hypothetical protein
PJNEKNFH_00310	CDS	747				hypothetical protein
PJNEKNFH_00311	CDS	504	pal_4			Peptidoglycan-associated lipoprotein
PJNEKNFH_00312	CDS	966	cpoB_1			Cell division coordinator CpoB
PJNEKNFH_00313	CDS	282				hypothetical protein
PJNEKNFH_00314	CDS	1116	tilS_1	6.3.4.19		tRNA(Ile)-lysidine synthase
PJNEKNFH_00315	CDS	1923	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PJNEKNFH_00316	CDS	2814	ppdK_1	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
PJNEKNFH_00317	CDS	1383				hypothetical protein
PJNEKNFH_00318	CDS	597				hypothetical protein
PJNEKNFH_00319	CDS	612				hypothetical protein
PJNEKNFH_00320	CDS	627	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
PJNEKNFH_00321	CDS	882	ygfZ_1			tRNA-modifying protein YgfZ
PJNEKNFH_00322	CDS	1329	lhyD_1	3.5.2.-		L-hydantoinase
PJNEKNFH_00323	CDS	267				hypothetical protein
PJNEKNFH_00324	CDS	492				hypothetical protein
PJNEKNFH_00325	CDS	417	gmm	3.6.1.-		GDP-mannose mannosyl hydrolase
PJNEKNFH_00326	CDS	513				hypothetical protein
PJNEKNFH_00327	CDS	768	yedK_1	3.4.-.-	COG2135	SOS response-associated protein YedK
PJNEKNFH_00328	CDS	1443		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
PJNEKNFH_00329	CDS	987	ywlC_1	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
PJNEKNFH_00330	tRNA	77				tRNA-Pro(cgg)
PJNEKNFH_00331	CDS	939	cmpR_1			HTH-type transcriptional activator CmpR
PJNEKNFH_00332	CDS	1038	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
PJNEKNFH_00333	CDS	873	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, chromosomal
PJNEKNFH_00334	CDS	1086	fda_2	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
PJNEKNFH_00335	CDS	273				hypothetical protein
PJNEKNFH_00336	CDS	702				hypothetical protein
