# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_669	LOCUS_006640	sequence00006:16019..16375(-)	partial			WP_083514556.1	RT0821/Lpp0805 family surface protein	97.5	62.6	68.4
MGA_673	LOCUS_006680	sequence00006:19820..20701(-)	frameshift		20648	WP_011085406.1	extensin family protein	75.4	61.6	61.5
MGA_685	LOCUS_006800	sequence00006:34820..35035(-)	frameshift		34998	WP_038965548.1	hypothetical protein	98.6	58.3	57.7
MGA_688	LOCUS_006830	sequence00006:37637..38905(+)	partial			WP_011089734.1	flagellar hook-length control protein FliK	90.8	66.1	36.4
MGA_698	LOCUS_006930	sequence00006:46923..47306(+)	partial			WP_028171220.1	BA14K family protein	21.3	13.1	85.2
MGA_704	LOCUS_006990	sequence00006:56548..56808(-)	partial			WP_011084219.1	TIGR02594 family protein	100.0	33.0	62.8
MGA_719	LOCUS_007140	sequence00006:72337..72564(-)	frameshift		72843,72573	WP_011090532.1	methylated-DNA--[protein]-cysteine S-methyltransferase	100.0	41.7	84.0
MGA_720	LOCUS_007150	sequence00006:72524..72829(-)	frameshift		72843,72573	WP_011090532.1	methylated-DNA--[protein]-cysteine S-methyltransferase	84.2	47.2	45.9
MGA_726	LOCUS_007210	sequence00006:85663..86199(-)	partial			WP_011089624.1	MarR family transcriptional regulator	76.4	63.3	38.7
MGA_731	LOCUS_007260	sequence00006:89292..89960(-)	partial			WP_028173384.1	cyclic nucleotide-binding domain-containing protein	89.2	73.5	44.4
MGA_802	LOCUS_007950	sequence00007:65768..66901(-)	frameshift		65794	WP_011086860.1	endolytic transglycosylase MltG	93.1	83.1	74.8
MGA_808	LOCUS_008010	sequence00007:71746..72165(+)	partial			WP_011086854.1	30S ribosomal protein S6	77.0	64.5	82.2
MGA_829	LOCUS_008220	sequence00007:90669..91952(+)	partial			WP_011088009.1	polysaccharide deacetylase family protein	72.6	70.0	61.6
MGA_849	LOCUS_008410	sequence00008:9815..10387(-)	partial			WP_012502785.1	tetratricopeptide repeat protein	94.2	27.7	59.8
MGA_857	LOCUS_008490	sequence00008:19391..19903(-)	partial			WP_011073762.1	c-type cytochrome	89.4	74.0	42.9
MGA_867	LOCUS_008590	sequence00008:30595..31947(+)	partial			WP_162992212.1	glycosyltransferase family 2 protein	85.6	58.9	35.8
MGA_874	LOCUS_008660	sequence00008:35633..36283(+)	partial			WP_011035918.1	glycosyltransferase family 2 protein	86.6	29.8	43.2
MGA_883	LOCUS_008750	sequence00008:45404..45697(+)	partial			WP_028172741.1	Co2+/Mg2+ efflux protein ApaG	100.0	73.8	82.5
MGA_905	LOCUS_008970	sequence00008:69571..72336(+)	partial			WP_011103576.1	response regulator	59.5	81.4	47.1
MGA_911	LOCUS_009030	sequence00008:76670..77860(-)	partial			WP_038965126.1	MltA domain-containing protein	98.2	74.3	67.4
MGA_935	LOCUS_009260	sequence00009:4725..5648(+)	partial			WP_116878287.1	HAD family hydrolase	90.6	71.4	36.8
MGA_1006	LOCUS_009970	sequence00009:79826..81832(-)	partial			WP_011975481.1	tape measure protein	46.0	39.2	43.0
MGA_1057	LOCUS_010460	sequence00010:41175..41660(-)	frameshift		41578	WP_011088336.1	hypothetical protein	79.5	33.9	57.8
MGA_1119	LOCUS_011080	sequence00011:16008..16253(-)	partial			WP_011083044.1	DUF1178 family protein	86.4	43.8	55.7
MGA_1147	LOCUS_011360	sequence00011:48187..48840(+)	partial			WP_161532582.1	CarD family transcriptional regulator	88.0	72.1	91.1
MGA_1163	LOCUS_011520	sequence00011:70586..70849(-)	partial			WP_011083276.1	septal ring lytic transglycosylase RlpA family protein	100.0	52.7	87.4
MGA_1197	LOCUS_011850	sequence00012:34264..34464(-)	partial			WP_024265601.1	FeoA family protein	83.3	51.9	69.1
MGA_1220	LOCUS_012080	sequence00012:59013..61109(+)	partial			WP_028175620.1	methyl-accepting chemotaxis protein	55.9	66.0	60.8
MGA_1223	LOCUS_012110	sequence00012:62425..62637(+)	partial			WP_011085189.1	SlyX family protein	64.3	65.3	63.8
MGA_1226	LOCUS_012140	sequence00012:65483..66085(+)	partial			WP_011089691.1	molybdenum ABC transporter ATP-binding protein	85.0	19.0	35.3
MGA_1254	LOCUS_012400	sequence00013:20435..22138(+)	partial			WP_011267513.1	PAS domain S-box protein	92.6	74.8	42.9
MGA_1294	LOCUS_012790	sequence00014:265..993(-)	partial			WP_011086720.1	pilus assembly protein	71.5	81.3	37.6
MGA_1330	LOCUS_013150	sequence00014:39908..41182(+)	partial			WP_011674142.1	site-specific integrase	59.0	61.7	22.5
MGA_1334	LOCUS_013190	sequence00014:45768..47102(+)	partial			WP_000110093.1	restriction endonuclease subunit S	66.4	59.2	28.9
MGA_1338	LOCUS_013230	sequence00014:51751..53109(-)	partial			WP_010974284.1	hypothetical protein	70.6	73.9	27.6
MGA_1349	LOCUS_013330	sequence00015:638..1411(+)	partial			WP_012258655.1	M15 family metallopeptidase	52.1	20.5	36.4
MGA_1391	LOCUS_013750	sequence00015:56984..57775(-)	partial			WP_038967427.1	DUF2147 domain-containing protein	57.0	51.7	57.6
MGA_1443	LOCUS_014250	sequence00016:60284..60961(-)	partial			WP_011085807.1	UdgX family uracil-DNA binding protein	92.9	44.1	77.5
MGA_1489	LOCUS_014700	sequence00017:47643..47828(-)	partial			WP_038967754.1	hypothetical protein	67.2	53.9	78.0
MGA_1550	LOCUS_015300	sequence00018:51828..52796(-)	frameshift,internal_stop_codon	52809..52811(-)	52856	WP_038967299.1	pseudouridine synthase	99.7	45.2	78.0
MGA_1564	LOCUS_015440	sequence00019:11001..13937(-)	partial			WP_011104972.1	SpvB/TcaC N-terminal domain-containing protein	62.2	42.5	30.6
MGA_1576	LOCUS_015560	sequence00019:28451..28720(-)	frameshift		28788	WP_011083849.1	response regulator	98.9	35.9	94.3
MGA_1577	LOCUS_015570	sequence00019:28663..29127(-)	frameshift		28788	WP_011083849.1	response regulator	76.0	47.8	83.8
MGA_1599	LOCUS_015790	sequence00019:51815..53479(+)	frameshift		51869,53414	WP_011390148.1	TonB-dependent siderophore receptor	94.9	64.4	36.1
MGA_1600	LOCUS_015800	sequence00019:53386..54270(+)	frameshift		53419	WP_063173315.1	TonB-dependent siderophore receptor	96.3	39.9	47.1
MGA_1601	LOCUS_015810	sequence00019:54672..56219(-)	partial			WP_013368629.1	strawberry notch family protein	78.3	28.1	67.1
MGA_1604	LOCUS_015840	sequence00019:57161..57403(-)	partial			WP_013368627.1	hypothetical protein	97.5	56.5	64.1
MGA_1620	LOCUS_016000	sequence00020:13698..14567(+)	frameshift		13579	WP_028171469.1	PAS domain-containing sensor histidine kinase	96.5	55.3	60.1
MGA_1635	LOCUS_016150	sequence00020:26570..26812(+)	partial			WP_010918403.1	IS3 family transposase	88.8	23.1	57.7
MGA_1637	LOCUS_016170	sequence00020:28204..28521(+)	partial			WP_014497752.1	type II toxin-antitoxin system RelE/ParE family toxin	83.8	71.8	40.4
MGA_1644	LOCUS_016240	sequence00020:33354..33893(-)	frameshift		33934	WP_003814468.1	TonB-dependent siderophore receptor	99.4	22.4	46.5
MGA_1645	LOCUS_016250	sequence00020:33890..35743(-)	frameshift		33940	WP_010974567.1	TonB-dependent siderophore receptor	97.1	72.4	39.7
MGA_1653	LOCUS_016330	sequence00020:42946..47028(-)	partial			WP_012257330.1	G8 domain-containing protein	24.3	27.9	28.5
MGA_1715	LOCUS_016940	sequence00022:5512..7017(+)	partial			WP_011088593.1	flagellar protein	77.6	63.2	45.0
MGA_1718	LOCUS_016970	sequence00022:9569..11140(+)	partial			WP_011088587.1	DUF1522 domain-containing protein	89.1	69.7	42.9
MGA_1719	LOCUS_016980	sequence00022:11533..13143(+)	partial			WP_011088584.1	DUF1522 domain-containing protein	91.0	67.4	44.4
MGA_1726	LOCUS_017050	sequence00022:17405..17665(+)	partial			WP_011088579.1	flagellar assembly protein FliX	98.8	62.0	71.8
MGA_1728	LOCUS_017070	sequence00022:18339..18674(-)	partial			WP_013525025.1	hypothetical protein	75.7	71.8	47.6
MGA_1799	LOCUS_017770	sequence00023:39272..40762(+)	partial			WP_011083394.1	hypothetical protein	71.8	75.2	41.3
MGA_1813	LOCUS_017910	sequence00024:5494..5868(+)	frameshift,internal_stop_codon	5935..5937(+)	5826	WP_164928820.1	IS5 family transposase	90.3	44.3	55.4
MGA_1814	LOCUS_017920	sequence00024:5946..6251(+)	frameshift,internal_stop_codon	5935..5937(+)	5832	WP_010919089.1	IS5 family transposase	100.0	61.6	47.5
MGA_1846	LOCUS_018240	sequence00024:42011..42484(-)	frameshift,internal_stop_codon	42010..42012(-)	42525	WP_011088155.1	NAD(P)/FAD-dependent oxidoreductase	98.1	37.1	58.4
MGA_1847	LOCUS_018250	sequence00024:42514..42804(-)	frameshift,internal_stop_codon	42859..42861(-)	42528	WP_011088155.1	NAD(P)/FAD-dependent oxidoreductase	99.0	22.9	52.6
MGA_1848	LOCUS_018260	sequence00024:42859..43113(-)	internal_stop_codon	42859..42861(-)		WP_011088155.1	NAD(P)/FAD-dependent oxidoreductase	86.9	17.8	59.5
MGA_1849	LOCUS_018270	sequence00024:43338..44369(+)	partial			WP_012066742.1	GNAT family N-acetyltransferase	80.2	67.0	31.2
MGA_1852	LOCUS_018300	sequence00025:66..1205(+)	partial			WP_162275222.1	TonB-dependent receptor	79.2	34.6	39.4
MGA_1853	LOCUS_018310	sequence00025:1678..2457(+)	partial			WP_011390364.1	XRE family transcriptional regulator	74.1	77.0	53.1
MGA_1859	LOCUS_018370	sequence00025:9141..9662(+)	partial			WP_011086167.1	ABC transporter ATP-binding protein	97.7	65.0	47.9
MGA_1860	LOCUS_018380	sequence00025:9662..10366(+)	partial			WP_011086166.1	ABC transporter permease	97.4	31.0	57.2
MGA_1861	LOCUS_018390	sequence00025:10571..10942(-)	partial			WP_011260948.1	c-type cytochrome	61.8	41.0	36.0
MGA_1872	LOCUS_018500	sequence00025:19140..19433(-)	partial			WP_003687709.1	DUF971 domain-containing protein	92.8	73.8	38.0
MGA_1873	LOCUS_018510	sequence00025:19973..20692(+)	frameshift		20527	WP_005767090.1	sulfonate ABC transporter substrate-binding protein	75.3	56.4	65.7
MGA_1877	LOCUS_018550	sequence00025:23091..23546(+)	frameshift		23525	WP_011089745.1	ATP-binding cassette domain-containing protein	96.7	52.5	78.8
MGA_1878	LOCUS_018560	sequence00025:23530..23796(+)	frameshift		23528	WP_011089745.1	ATP-binding cassette domain-containing protein	97.7	28.1	70.9
MGA_1909	LOCUS_018860	sequence00026:8878..9339(-)	partial			WP_010920616.1	NlpC/P60 family protein	94.1	68.9	47.9
MGA_1912	LOCUS_018890	sequence00026:10810..14157(-)	partial			WP_015705686.1	phage tail length tape measure family protein	74.8	76.9	20.1
MGA_1931	LOCUS_019080	sequence00026:26934..27860(-)	partial			WP_012256874.1	DNA methyltransferase	62.0	54.1	28.7
MGA_1934	LOCUS_019110	sequence00026:29424..29957(-)	partial			WP_015063611.1	hypothetical protein	87.6	72.3	41.9
MGA_1945	LOCUS_019220	sequence00026:37882..38790(-)	partial			WP_012259053.1	DNA-processing protein DprA	84.8	70.1	38.8
MGA_1951	LOCUS_019270	sequence00026:42699..43532(-)	frameshift		43533	WP_209489743.1	recombinase family protein	77.6	38.1	68.4
MGA_1955	LOCUS_019310	sequence00027:108..851(-)	partial			WP_011085807.1	UdgX family uracil-DNA binding protein	98.4	50.7	54.9
MGA_1964	LOCUS_019400	sequence00027:13525..14331(-)	frameshift		14567	WP_011085824.1	DUF2336 domain-containing protein	97.0	70.3	58.5
MGA_1969	LOCUS_019450	sequence00027:19777..20271(+)	partial			WP_051000271.1	TIGR03809 family protein	70.7	44.5	42.1
MGA_1988	LOCUS_019640	sequence00027:40148..40963(+)	partial			WP_010971251.1	DUF6456 domain-containing protein	55.4	55.0	48.4
MGA_1999	LOCUS_019740	sequence00028:14615..15352(+)	partial			WP_011088636.1	dipeptide epimerase	100.0	74.0	73.5
MGA_2017	LOCUS_019920	sequence00028:36624..37178(+)	partial			WP_038967022.1	HAD-IIIA family hydrolase	88.0	40.5	50.0
MGA_2023	LOCUS_019970	sequence00029:1630..4647(+)	partial			WP_038965409.1	PAS domain S-box protein	78.2	73.5	51.7
MGA_2037	LOCUS_020110	sequence00029:16393..16770(+)	partial			WP_011089854.1	30S ribosomal protein S21	60.8	77.6	80.3
MGA_2038	LOCUS_020120	sequence00029:17134..17601(-)	partial			WP_011090348.1	DUF3606 domain-containing protein	70.3	83.2	67.0
MGA_2054	LOCUS_020280	sequence00029:36289..36573(-)	partial			WP_011090291.1	hypothetical protein	67.0	55.3	58.7
MGA_2116	LOCUS_020890	sequence00031:28011..28316(-)	frameshift		28030,28351	WP_011088804.1	ABC-type transport auxiliary lipoprotein family protein	94.1	27.2	60.0
MGA_2118	LOCUS_020910	sequence00031:29150..29557(+)	partial			WP_011088812.1	bifunctional aminoglycoside phosphotransferase/ATP-binding protein	37.8	10.0	72.5
MGA_2133	LOCUS_021060	sequence00032:4780..6696(-)	partial			WP_011090085.1	DNA primase	66.0	63.2	59.4
MGA_2150	LOCUS_021230	sequence00032:21850..22161(-)	partial			WP_038966242.1	hypothetical protein	79.6	70.8	41.2
MGA_2156	LOCUS_021290	sequence00032:27862..28245(+)	partial			WP_038966407.1	lytic transglycosylase domain-containing protein	89.0	63.3	69.3
MGA_2158	LOCUS_021310	sequence00032:28927..29487(+)	partial			WP_011089395.1	FAD-dependent oxidoreductase	99.5	55.1	73.5
MGA_2174	LOCUS_021470	sequence00033:10374..10733(-)	partial			WP_011083660.1	hypothetical protein	68.1	71.7	60.5
MGA_2184	LOCUS_021570	sequence00033:21832..22206(-)	partial			WP_011389385.1	DUF411 domain-containing protein	74.2	64.4	58.5
MGA_2194	LOCUS_021670	sequence00033:31861..32709(-)	partial			WP_116878287.1	HAD family hydrolase	90.1	65.1	39.1
MGA_2195	LOCUS_021680	sequence00033:32702..34153(-)	partial			WP_013389913.1	DUF4263 domain-containing protein	56.9	73.6	29.3
MGA_2202	LOCUS_021740	sequence00034:1872..2672(+)	partial			WP_011088731.1	LegC family aminotransferase	97.0	63.5	53.1
MGA_2207	LOCUS_021790	sequence00034:8380..9183(+)	partial			WP_010918992.1	FkbM family methyltransferase	71.9	24.0	30.3
MGA_2260	LOCUS_022310	sequence00035:25194..25574(+)	partial			WP_011337425.1	HNH endonuclease	64.3	65.5	45.7
MGA_2267	LOCUS_022380	sequence00036:89..442(-)	partial			WP_012061632.1	metallophosphoesterase family protein	86.3	45.7	42.2
MGA_2289	LOCUS_022600	sequence00037:86..268(-)	partial			WP_013528463.1	quaternary ammonium compound efflux SMR transporter SugE	80.0	46.2	70.8
MGA_2329	LOCUS_022990	sequence00038:6952..7194(-)	partial			WP_013533651.1	LuxR family transcriptional regulator	78.8	25.9	46.0
MGA_2345	LOCUS_023150	sequence00038:23002..23730(+)	partial			WP_011103177.1	P-type DNA transfer protein VirB5	78.5	72.0	23.2
MGA_2381	LOCUS_023490	sequence00039:28488..29099(-)	partial			WP_011083592.1	beta-ketoacyl-ACP synthase I	99.5	49.6	89.6
MGA_2403	LOCUS_023700	sequence00040:22668..24266(-)	partial			WP_001244955.1	recombinase family protein	50.2	53.7	35.8
MGA_2404	LOCUS_023710	sequence00040:24263..24730(-)	partial			WP_013383514.1	DUF2924 domain-containing protein	66.5	66.9	41.7
MGA_2412	LOCUS_023790	sequence00041:4007..6022(+)	partial			WP_011975481.1	tape measure protein	45.0	37.4	44.7
MGA_2443	LOCUS_024100	sequence00042:9147..9668(-)	partial			WP_011088134.1	adenylate kinase	93.6	54.5	76.5
MGA_2473	LOCUS_024390	sequence00043:1857..3038(+)	partial			WP_011970000.1	PAS domain S-box protein	45.8	16.7	41.1
MGA_2475	LOCUS_024410	sequence00043:4500..4970(-)	partial			WP_011089058.1	DsrE family protein	78.8	60.2	46.3
MGA_2498	LOCUS_024640	sequence00044:11603..11806(-)	partial			WP_011089426.1	hypothetical protein	61.2	57.7	70.7
MGA_2513	LOCUS_024790	sequence00045:3622..4257(+)	partial			WP_011089814.1	hemin ABC transporter substrate-binding protein	99.1	65.9	64.1
MGA_2531	LOCUS_024960	sequence00046:232..1197(-)	partial			WP_159587716.1	IS481 family transposase	99.7	58.8	80.6
MGA_2587	LOCUS_025520	sequence00048:17797..18447(-)	partial			WP_037392214.1	LysR substrate-binding domain-containing protein	89.4	66.0	33.7
MGA_2588	LOCUS_025530	sequence00048:18560..19213(-)	partial			WP_003114936.1	TonB-dependent receptor	100.0	26.2	44.2
MGA_2595	LOCUS_025590	sequence00049:3569..6271(+)	partial			WP_011124706.1	CsoS2 family carboxysome shell protein	57.0	66.0	39.0
MGA_2605	LOCUS_025690	sequence00049:11553..13913(+)	partial			WP_011970965.1	nitric oxide reductase activation protein NorD	38.2	46.8	33.6
MGA_2609	LOCUS_025730	sequence00049:17103..17705(-)	partial			WP_003111969.1	Fe(3+)-pyochelin receptor FptA	99.5	27.1	37.3
MGA_2612	LOCUS_025750	sequence00050:294..1007(-)	partial			WP_010920599.1	Do family serine endopeptidase	70.9	31.9	40.2
MGA_2618	LOCUS_025810	sequence00050:6406..7386(+)	partial			WP_010918557.1	esterase-like activity of phytase family protein	80.1	74.7	39.7
MGA_2636	LOCUS_025970	sequence00051:1331..1855(-)	partial			WP_010919184.1	TIGR02281 family clan AA aspartic protease	71.3	72.1	53.2
MGA_2637	LOCUS_025980	sequence00051:1951..2157(-)	partial			WP_010919185.1	DUF1289 domain-containing protein	80.9	74.3	69.1
MGA_2644	LOCUS_026050	sequence00051:7360..8049(-)	partial			WP_024265760.1	FtsX-like permease family protein	74.7	45.9	47.8
MGA_2651	LOCUS_026120	sequence00051:17505..>18561(-)	partial			WP_010921467.1	D-glycero-beta-D-manno-heptose-7-phosphate kinase	98.6	71.8	48.7
MGA_2680	LOCUS_026400	sequence00053:12908..16207(+)	partial			WP_118839700.1	DEAD/DEAH box helicase family protein	34.8	45.7	27.6
MGA_2690	LOCUS_026490	sequence00054:7772..8668(+)	partial			WP_003975797.1	glycerophosphoryl diester phosphodiesterase membrane domain-containing protein	54.0	35.5	28.7
MGA_2700	LOCUS_026580	sequence00055:426..2174(+)	partial			WP_118838062.1	M56 family metallopeptidase	34.2	17.6	33.2
MGA_2706	LOCUS_026640	sequence00055:8789..10390(-)	partial			WP_164929325.1	tetratricopeptide repeat protein	88.6	49.1	26.6
MGA_2712	LOCUS_026700	sequence00056:3..506(+)	partial			WP_012640656.1	EamA family transporter	95.2	50.2	60.4
MGA_2731	LOCUS_026890	sequence00056:15397..16881(-)	internal_stop_codon	16909..16911(-),16900..16902(-)		WP_003115264.1	cytochrome c/FTR1 family iron permease	97.2	73.8	35.3
MGA_2732	LOCUS_026900	sequence00057:<1..1282(+)	partial			WP_005814129.1	catalase/peroxidase HPI	98.1	57.9	59.9
MGA_2734	LOCUS_026920	sequence00057:2326..3333(+)	partial			WP_010920922.1	serine hydrolase	95.2	59.7	26.6
MGA_2743	LOCUS_027010	sequence00057:9771..11588(+)	partial			WP_010920911.1	response regulator	68.1	48.0	45.1
MGA_2750	LOCUS_027080	sequence00057:16235..>16796(-)	partial			WP_012640026.1	helicase-related protein	90.9	22.1	46.3
MGA_2771	LOCUS_027280	sequence00058:14488..15498(+)	partial			WP_162992306.1	peptidoglycan DD-metalloendopeptidase family protein	61.0	43.1	31.1
MGA_2820	LOCUS_027720	sequence00061:15303..16181(-)	partial			WP_011036209.1	DUF3488 and transglutaminase-like domain-containing protein	51.0	23.7	42.0
MGA_2828	LOCUS_027790	sequence00062:4656..4850(-)	partial			WP_010919634.1	site-specific integrase	100.0	30.8	93.8
MGA_2833	LOCUS_027840	sequence00062:7847..8416(-)	partial			WP_010921220.1	YceI family protein	94.7	42.9	43.5
MGA_2858	LOCUS_028070	sequence00063:15216..>15718(-)	partial			WP_024265707.1	class I poly(R)-hydroxyalkanoic acid synthase	100.0	24.6	66.9
MGA_2861	LOCUS_028090	sequence00064:3053..3190(-)	partial			WP_011088387.1	DUF72 domain-containing protein	93.3	15.1	73.8
MGA_2862	LOCUS_028100	sequence00064:3487..3723(+)	partial			WP_064240481.1	GFA family protein	84.6	50.0	48.5
MGA_2880	LOCUS_028270	sequence00065:4503..4763(-)	partial			WP_081097245.1	Clp protease ClpP	84.9	10.7	52.1
MGA_2887	LOCUS_028340	sequence00065:9246..9677(-)	partial			WP_159587716.1	IS481 family transposase	98.6	26.3	82.3
MGA_2889	LOCUS_028360	sequence00065:10020..10187(+)	partial			WP_010969542.1	acetyltransferase	89.1	28.2	93.9
MGA_2890	LOCUS_028370	sequence00065:10213..11223(+)	frameshift		11163	WP_209489743.1	recombinase family protein	87.8	52.2	67.6
MGA_2891	LOCUS_028380	sequence00065:11220..11720(+)	partial			WP_011090918.1	IS21-like element helper ATPase IstB	69.3	40.1	90.4
MGA_2892	LOCUS_028390	sequence00065:11826..12212(+)	partial			WP_011119496.1	zinc-dependent alcohol dehydrogenase family protein	88.3	34.3	63.7
MGA_2894	LOCUS_028410	sequence00065:13682..14377(+)	partial			WP_003114745.1	GGDEF domain-containing protein	74.9	33.1	45.4
MGA_2899	LOCUS_028460	sequence00066:3127..5211(+)	frameshift		4986,5002	WP_011087078.1	ribonuclease E/G	99.9	68.8	66.4
MGA_2915	LOCUS_028600	sequence00067:544..1785(+)	partial			WP_010918222.1	carotenoid oxygenase family protein	34.4	29.4	52.1
MGA_2941	LOCUS_028850	sequence00068:6243..7529(+)	partial			WP_010919538.1	replicative DNA helicase	42.3	36.1	63.0
MGA_2948	LOCUS_028920	sequence00068:13478..>15284(-)	partial			WP_010921380.1	YdbH domain-containing protein	88.4	49.4	40.9
MGA_2952	LOCUS_028950	sequence00069:4061..5398(-)	partial			WP_010965254.1	recombinase family protein	51.5	41.2	33.9
MGA_2954	LOCUS_028970	sequence00069:6331..6822(-)	partial			WP_110188582.1	DNA methyltransferase	74.8	31.0	46.8
MGA_2961	LOCUS_029040	sequence00069:13403..13612(+)	partial			WP_014490270.1	helix-turn-helix domain-containing protein	89.9	74.7	43.5
MGA_2996	LOCUS_029360	sequence00072:1823..2284(-)	partial			WP_037400458.1	GNAT family N-acetyltransferase	65.4	64.7	40.6
MGA_3015	LOCUS_029540	sequence00073:1224..1550(-)	frameshift		1602	WP_192281448.1	Hsp20 family protein	100.0	67.1	73.1
MGA_3016	LOCUS_029550	sequence00073:1907..2146(+)	partial			WP_010969104.1	hypothetical protein	55.7	61.1	65.9
MGA_3018	LOCUS_029570	sequence00073:2927..3442(+)	partial			WP_051000309.1	hypothetical protein	28.1	60.0	66.7
MGA_3019	LOCUS_029580	sequence00073:4443..5138(-)	partial			WP_011087991.1	trypsin-like peptidase domain-containing protein	96.5	59.0	66.4
MGA_3030	LOCUS_029680	sequence00074:1223..1777(+)	partial			WP_012061855.1	exopolysaccharide production protein ExoF	96.7	43.6	29.3
MGA_3032	LOCUS_029700	sequence00074:3120..3635(-)	partial			WP_024265982.1	TIGR02300 family protein	63.2	67.9	46.3
